demand_index,time_slot,day_of_week,competition_pressure,operational_cost,seasonality_index,marketing_intensity
0.689922480620155,1.0,0.5,0.056249999999999994,0.3817696718700223,0.38,0.4923076923076923
0.5116279069767442,0.0,1.0,0.6125,0.7179037910162474,0.050000000000000044,0.6769230769230768
0.3565891472868217,0.043478260869565216,1.0,0.11875,0.39984867792290535,0.74,0.4923076923076923
0.6046511627906976,0.6521739130434783,0.3333333333333333,0.56875,0.3948709780184772,0.6000000000000001,0.5769230769230769
0.5116279069767442,0.5652173913043478,1.0,0.63125,0.6798741637464162,0.08999999999999997,0.29230769230769227
0.4883720930232558,0.0,0.5,0.8500000000000001,0.5080837846447913,0.4955188679245284,0.5538461538461538
0.6666666666666666,1.0,1.0,0.45625,0.6029786556228098,0.6100000000000001,0.4923076923076923
0.5116279069767442,0.6086956521739131,0.8333333333333333,0.8187500000000001,0.2756052883083785,0.78,0.0
0.2868217054263566,0.43478260869565216,0.8333333333333333,0.5062500000000001,0.5459939471169163,0.6299999999999999,0.2769230769230769
0.5891472868217054,0.0,0.0,0.275,0.3443771901879579,0.15000000000000002,0.2153846153846154
0.7209302325581395,0.43478260869565216,0.0,0.5062500000000001,0.36297387703090156,0.43999999999999995,0.6692307692307692
0.8217054263565892,0.6521739130434783,0.5,0.29374999999999996,0.4605429288163436,0.030000000000000027,0.0
0.20930232558139533,0.0,0.3333333333333333,0.5062500000000001,0.6166374641605608,0.07999999999999996,0.4923076923076923
0.4108527131782946,0.5652173913043478,1.0,0.96875,0.4228257406817458,0.12,0.4923076923076923
0.09302325581395349,1.0,0.16666666666666666,0.55,0.8628145906339599,0.12,0.3692307692307692
0.7054263565891473,0.08695652173913043,1.0,0.33125000000000004,0.5555113093341829,0.78,0.6153846153846154
0.4883720930232558,0.21739130434782608,1.0,0.53125,0.6393755973239885,0.8999999999999999,0.8923076923076921
0.4496124031007752,0.0,1.0,0.3,0.5166454284804078,0.48,0.15384615384615385
0.5891472868217054,0.0,1.0,0.5062500000000001,0.3893755973239885,0.16000000000000003,0.4923076923076923
0.37209302325581395,0.8695652173913043,0.3333333333333333,0.5062500000000001,0.6293803759158968,0.4955188679245284,0.061538461538461535
0.2248062015503876,1.0,0.3333333333333333,0.043750000000000004,0.41414463204842306,0.51,0.6923076923076923
0.2713178294573643,0.6956521739130435,0.3333333333333333,0.54375,0.41908251035361577,0.5,0.4384615384615384
0.5116279069767442,0.4782608695652174,1.0,0.5062500000000001,0.5105129021981524,0.29000000000000004,0.8846153846153845
0.49612403100775193,0.5652173913043478,0.0,0.60625,0.3808537750876075,0.6399999999999999,0.4923076923076923
0.3565891472868217,0.6956521739130435,1.0,0.76875,0.42107359031538705,0.72,0.823076923076923
0.49612403100775193,0.43478260869565216,1.0,0.8624999999999999,0.5741876393755975,0.27,0.8615384615384616
